GHD;GRAHADI
MCL;MENTARI COVER LAMA
MDR;MENTARI KB
MEN;MENTARI
MPR;WAJAR KB  2013
MXX;MAXXI
PRO;PROYEKSI 
SCL;SISWA COVER LAMA
SIS;SISWA
SKR;SEKAR
SMT;SMART MEDIA
TCL;TUNTAS COVER LAMA
TUN;TUNTAS
UAN;SIAP UJIAN NASIONAL
WCL;WAJAR COVER LAMA
WJR;WAJAR
MUS;KARTIKA PRIMA
KB;TUNTAS KB 2013
WKB;WAJAR KURIKULUM 2013
KPB;KARTIKA PRIMA KB 
KBR;K.BULAN RAMADHAN
FT;FATTAH
HK;HIKMAH
KEA;SMK KEAHLIAN
PM;PRIMA
SAJ;UAN KUMER
JUR;JURNAL
TKA;TES KEMAMPUAN DASAR
KAR;KARTIKA PRATAMA
PRA;PRAKARYA
KK;KOMPETENSI KEAHLIAN
FJR;FAJAR